Создан как новый массив данных;Образец 1522 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
2955,00;99,50
2954,00;99,51
2953,00;99,51
2952,00;99,50
2951,00;99,49
2950,00;99,46
2949,00;99,43
2948,00;99,38
2947,00;99,33
2946,00;99,26
2945,00;99,18
2944,00;99,10
2943,00;99,00
2942,00;98,88
2941,00;98,76
2940,00;98,62
2939,00;98,48
2938,00;98,33
2937,00;98,19
2936,00;98,07
2935,00;97,99
2934,00;97,96
2933,00;97,96
2932,00;98,01
2931,00;98,09
2930,00;98,19
2929,00;98,32
2928,00;98,45
2927,00;98,60
2926,00;98,75
2925,00;98,89
2924,00;99,01
2923,00;99,12
2922,00;99,21
2921,00;99,29
2920,00;99,37
2919,00;99,44
2918,00;99,51
2917,00;99,59
2916,00;99,66
2915,00;99,72
2914,00;99,77
2913,00;99,81
2912,00;99,84
2911,00;99,86
2910,00;99,88
2909,00;99,89
2908,00;99,91
2907,00;99,92
2906,00;99,93
2905,00;99,94
2904,00;99,95
2903,00;99,96
2902,00;99,97
2901,00;99,98
2900,00;99,99
2899,00;100,00
2898,00;100,01
2897,00;100,02
2896,00;100,03
2895,00;100,03
2894,00;100,03
2893,00;100,03
2892,00;100,03
2891,00;100,02
2890,00;100,01
2889,00;100,00
2888,00;99,98
2887,00;99,96
2886,00;99,94
2885,00;99,92
2884,00;99,90
2883,00;99,88
2882,00;99,87
2881,00;99,86
2880,00;99,85
2879,00;99,84
2878,00;99,84
2877,00;99,83
2876,00;99,83
2875,00;99,84
2874,00;99,85
2873,00;99,88
2872,00;99,91
2871,00;99,96
2870,00;100,01
2869,00;100,06
2868,00;100,11
2867,00;100,15
2866,00;100,19
2865,00;100,23
2864,00;100,25
2863,00;100,28
2862,00;100,30
2861,00;100,31
2860,00;100,32
2859,00;100,33
2858,00;100,34
2857,00;100,34
2856,00;100,34
2855,00;100,34
2854,00;100,34
2853,00;100,35
2852,00;100,35
2851,00;100,37
2850,00;100,39
2849,00;100,41
2848,00;100,44
2847,00;100,47
2846,00;100,50
2845,00;100,51
2844,00;100,53
2843,00;100,54
2842,00;100,55
2841,00;100,56
2840,00;100,57
2839,00;100,57
2838,00;100,58
2837,00;100,58
2836,00;100,58
2835,00;100,59
2834,00;100,59
2833,00;100,59
2832,00;100,60
2831,00;100,60
2830,00;100,60
2829,00;100,61
2828,00;100,61
2827,00;100,61
2826,00;100,62
2825,00;100,62
2824,00;100,63
2823,00;100,63
2822,00;100,64
2821,00;100,64
2820,00;100,64
2819,00;100,65
2818,00;100,65
2817,00;100,65
2816,00;100,66
2815,00;100,66
2814,00;100,66
2813,00;100,66
2812,00;100,66
2811,00;100,66
2810,00;100,67
2809,00;100,67
2808,00;100,68
2807,00;100,68
2806,00;100,69
2805,00;100,69
2804,00;100,69
2803,00;100,70
2802,00;100,70
2801,00;100,71
2800,00;100,71
2799,00;100,71
2798,00;100,71
2797,00;100,71
2796,00;100,71
2795,00;100,71
2794,00;100,71
2793,00;100,71
2792,00;100,71
